Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Status,Effective Month,Effective Year,Current Month,Current Year,Associated with Combined Heat and Power System,Sector Name,Sector,Previously Canceled,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Turbines or Hydrokinetic Buoys,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Solid Fuel Gasification System?,Carbon Capture Technology?,Multiple Fuels?,Switch Between Oil and Natural Gas?,Cofire Fuels?
64673,"Ross County Solar, LLC",65343,"Ross County Solar, LLC",OH,Ross,ROSS,Solar Photovoltaic,PV,,W,X,X,,,120, ,120,120,P,7,2024,7,2024,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64674,Noria Hondo Solar LLC,65344,Noria Hondo Solar (Hybrid),TX,Kleberg,66148,Solar Photovoltaic,PV,,S,X,X,,,145, ,145,145,L,9,2024,9,2024,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64674,Noria Hondo Solar LLC,65344,Noria Hondo Solar (Hybrid),TX,Kleberg,66149,Batteries,BA,,S,X,X,,,75, ,75,75,L,9,2024,9,2024,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,,,,,
64657,"Vacherie Solar Energy Center, LLC",65345,"Vacherie Solar Energy Center, LLC",LA,St James,VSEC,Solar Photovoltaic,PV,,S,X,X,,,150, ,150,150,P,6,2024,6,2024,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64676,"Macbeth Solar, LLC",65346,Macbeth Solar,MI,Muskegon,MCB20,Solar Photovoltaic,PV,,S,X,X,,,20, ,20,20,V,12,2021,3,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,N,N,N,,
64677,"Lyons Road Solar Farm, LLC",65347,Lyons Road,MI,Shiawassee,LYON1,Solar Photovoltaic,PV,,S,X,X,,,20, ,20,20,V,2,2022,2,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,N,N,N,,
56990,NJR Clean Energy Ventures Corporation,65348,Mount Olive Solar Farm,NJ,Morris,OLIVE,Solar Photovoltaic,PV,,W,X,X,,,19.8, ,19.8,19.8,U,6,2022,6,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64684,Mulligan Solar,65349,"Mulligan Solar, LLC",IL,Logan,MLGAN,Solar Photovoltaic,PV,,S,X,X,,,92.4, ,92.4,92.4,V,4,2022,4,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,U,,
64683,Ford Ridge,65350,Ford County Wind Farm LLC,IL,Ford,FORDC,Onshore Wind Turbine,WT,,S,X,X,,,121.3, ,121.3,121.3,V,3,2022,3,2022,N,IPP Non-CHP,2,N,WND,,,,,,43,,,,,,,,,,,,
60531,Standard Solar,65356,Klees Mill CSG,MD,Carroll,KLEES,Solar Photovoltaic,PV,,S,X,X,,,2, ,2,2,L,11,2022,11,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
60531,Standard Solar,65358,OER Patuxent CSG,MD,Anne Arundel,PATUX,Solar Photovoltaic,PV,,S,X,X,,,2, ,2,2,T,6,2022,6,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64625,"MA CS Uxbridge, LLC",65362,"MA CS Uxbridge, LLC",MA,Worcester,UXBRD,Solar Photovoltaic,PV,,S,X,X,,,4, ,4,4,TS,4,2022,4,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
62856,"Forefront Power, LLC",65365,CA - Ventura Co CCD - Moorpark College,CA,Ventura,17024,Solar Photovoltaic,PV,,S,X,X,,,2.6, ,2.6,2.6,U,3,2022,3,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64689,"Emery Meadow Solar Station, LLC",65366,Emery Meadow Solar Station,ME,York,EMSS,Solar Photovoltaic,PV,,S,X,X,LD.W_BUXTON34.5,LD.W_BUXTON34.5,16.4,0.89,16.4,16.4,L,12,2023,12,2023,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
64690,Topsham Meadow Solar Station LLC,65369,Topsham Meadow Solar Station,ME,Sagadahoc,TMSS,Solar Photovoltaic,PV,,S,X,X,UN.TOPSHAM34.5MILR,UN.TOPSHAM34.5MILR,17.2,0.93,17.2,17.2,L,3,2024,3,2024,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,N,N,N,,
64691,West Baldwin Solar Station LLC,65371,West Baldwin Solar Station,ME,Cumberland,WBSS,Solar Photovoltaic,PV,,S,X,X,UN.W_BUXTON34.5HIRM,UN.W_BUXTON34.5HIRM,17.1,0.93,17.1,17.1,L,10,2023,10,2023,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,N,N,,,
63082,ProEnergy Services,65372,Mark One Power Station,TX,Brazoria,CTG-1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,AE_BCH01,,60.5,0.85,44.6,49.8,U,3,2023,2,2023,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
63082,ProEnergy Services,65372,Mark One Power Station,TX,Brazoria,CTG-2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,AE_BCH01,,60.5,0.85,44.6,49.8,U,3,2023,3,2023,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
63082,ProEnergy Services,65372,Mark One Power Station,TX,Brazoria,CTG-3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,AE_BCH01,,60.5,0.85,44.6,49.8,U,3,2023,3,2023,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
63082,ProEnergy Services,65373,Brotman Power Station,TX,Brazoria,CTG-1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,ACHBTM01,,60.5,0.85,44.6,49.8,L,7,2023,7,2023,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,,N,,
63082,ProEnergy Services,65373,Brotman Power Station,TX,Brazoria,CTG-2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,ACHBTM01,,60.5,0.85,44.6,49.8,L,7,2023,7,2023,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,N,N,,
63082,ProEnergy Services,65373,Brotman Power Station,TX,Brazoria,CTG-3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,ACHBTM01,,60.5,0.85,44.6,49.8,L,3,2023,3,2023,N,IPP Non-CHP,2,N,NG,,,,,, ,,,,,,,,,N,N,,
6762,City of Fredonia - (KS),65374,Fredonia,KS,Wilson,GEN1,Petroleum Liquids,IC,,S,X,X,,,1.5,0.8,1.5,1.5,U,6,2022,6,2022,N,Electric Utility,1,N,DFO,,,,,, ,,,,,,,,,,N,,
6762,City of Fredonia - (KS),65374,Fredonia,KS,Wilson,GEN2,Petroleum Liquids,IC,,S,X,X,,,1.5,0.8,1.5,1.5,U,6,2022,6,2022,N,Electric Utility,1,N,DFO,,,,,, ,,,,,,,,,Y,N,,
13407,Nevada Power Co,65377,Iron Point Solar (Hybrid),NV,Humboldt,IPB,Batteries,BA,,S,X,X,,,200, ,200,200,T,12,2023,12,2023,N,Electric Utility,1,N,MWH,,,,,, ,,,,,,,,,,,,
13407,Nevada Power Co,65377,Iron Point Solar (Hybrid),NV,Humboldt,IPS,Solar Photovoltaic,PV,,S,X,X,,,250, ,250,250,T,12,2023,12,2023,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,,,
64700,"OYA Robinson Road, LLC",65378,OYA Robinson Road,NY,Jefferson,NY002,Solar Photovoltaic,PV,,S,X,X,,,5, ,5,5,V,3,2022,3,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
40230,Deseret Generation & Tran Coop,65380,Fort Pierce Generating Facility,UT,Washington,3,Natural Gas Internal Combustion Engine,IC,,S,X,X,,,15,0.95,15,15,U,6,2022,6,2022,N,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
64722,Allie L.L.C.,65381,Allie L.L.C.,MN,Renville,PAPE,Solar Photovoltaic,PV,,S,X,X,,,1,1,1,1,T,10,2022,10,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,N,,N
64724,"Lincoln Solar Star, LLC",65382,Lincoln WWTF Hybrid,CA,Placer,ESS,Batteries,BA,,W,X,X,,,1,1,1,1,V,1,2022,3,2022,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,,,,,
56990,NJR Clean Energy Ventures Corporation,65385,Airport Road Solar,NY,Orange,AIRPT,Solar Photovoltaic,PV,,W,X,X,,,4.6, ,4.6,4.6,U,4,2022,4,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
56990,NJR Clean Energy Ventures Corporation,65386,Howard Lane Solar,RI,Providence,HOWRD,Solar Photovoltaic,PV,,W,X,X,,,3, ,3,3,U,7,2022,11,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
56990,NJR Clean Energy Ventures Corporation,65387,Holland Solar Farm,NJ,Hunterdon,HOLND,Solar Photovoltaic,PV,,W,X,X,,,6.7, ,6.7,6.7,U,6,2022,6,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,,,
63721,"Skipjack Offshore Energy, LLC",65388,Skipjack Wind Farm Phase 2,MD,,SJW02,Offshore Wind Turbine,WS,,S,X,X,,,846, ,846,846,L,12,2026,12,2026,N,IPP Non-CHP,2,N,WND,,,,,,60,,,,,,,,,,,,
64735,"Ledyard Windpower, LLC",65390,"Ledyard Windpower, LLC",IA,Kossuth,LDYRD,Onshore Wind Turbine,WT,,S,X,X,,,207, ,200,200,T,12,2022,12,2022,N,IPP Non-CHP,2,N,WND,,,,,, ,,,,,,,,,,,,
64743,PPM Solar LLC,65391,Beloit Solar LLC,KS,Mitchell,BS1,Solar Photovoltaic,PV,,S,X,X,,,2,1,2,2,T,5,2022,5,2022,N,IPP Non-CHP,2,N,SUN,,,,,, ,,,,,,,,,,N,,
12341,MidAmerican Energy Co,65393,Neal Energy Center Solar,IA,Woodbury,NECS,Solar Photovoltaic,PV,,S,X,X,,,4,1,4,4,V,12,2021,2,2022,N,Electric Utility,1,N,SUN,,,,,, ,,,,,,,,,,,,
64720,Orsted North America Inc.,65394,Ocean Wind II,NJ,,OCWII,Offshore Wind Turbine,WS,,S,X,X,,,"1,148.00", ,"1,148.00","1,148.00",P,1,2029,1,2029,N,IPP Non-CHP,2,N,WND,,,,,,82,,,,,,,,,,,,
64738,"Hummingbird Energy Storage, LLC",65395,Hummingbird Energy Storage LLC,CA,Santa Clara,HUMB1,Batteries,BA,,S,X,X,,,75, ,75,75,T,6,2023,6,2023,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,,,,,
64739,Black Walnut Energy Storage LLC,65396,Black Walnut Energy Storage LLC,CA,Ventura,BW1,Batteries,BA,,S,X,X,,,15, ,15,15,T,6,2023,6,2023,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,N,N,N,,
64740,"Santa Paula Energy Storage, LLC",65397,Santa Paula Energy Storage LLC,CA,Ventura,SP1,Batteries,BA,,S,X,X,,,30, ,30,30,U,11,2022,11,2022,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,N,N,N,,
64741,"Homestead Energy Storage, LLC",65398,Homestead Energy Storage LLC,CA,Los Angeles,HMSD1,Batteries,BA,,S,X,X,,,14, ,14,14,T,2,2024,2,2024,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,N,N,N,,
64726,"Rivers Electric, LLC",65399,Mill Pond Hydro,NY,Greene,U3,Conventional Hydroelectric,HY,,S,X,X,,,0.5, ,0.5,0.5,P,3,2022,7,2027,N,IPP Non-CHP,2,N,WAT,,,,,, ,,,,,,,,,,,,
15470,"Duke Energy Indiana, LLC",65400,Purdue CHP,IN,Tippecanoe,PUCHP,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,13.3,0.9,11.5,15.5,U,3,2022,3,2022,Y,Electric Utility,1,N,NG,,,,,, ,,,,,,,,,,N,,
5504,Vistra Corp,65401,Newton Solar BESS LLC,IL,Jasper,BA,Batteries,BA,,S,X,X,,,7, ,7,7,P,4,2024,4,2024,N,IPP Non-CHP,2,N,MWH,,,,,, ,,,,,,,,,,,,
