name,facility_type,capacity,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,coordinate,plant_life,incommod,outcommod,,plant age
CASD_Solar_CASDW,solar,0.4,10,2010,10,2035,"(40.2142,-77.2061)",25,,,,10
SMUD_at_Grundman_PV1,solar,17,12,2011,12,2036,"(38.364722,-121.41278)",25,,,,9
SMUD_at_Van_Conett_PV1,solar,2.9,12,2011,12,2036,"(38.253056,-121.278888)",25,,,,9
SMUD_at_Fleshman_PV1,solar,2.9,12,2011,12,2036,"(38.237778,-121.3375)",25,,,,9
Oakdale_Renewable_Energy_Plant_GE1,gas,1.4,6,2010,6,2040,"(41.7053,-91.6033)",30,,,,10
Oakdale_Renewable_Energy_Plant_GE2,gas,1.4,6,2010,6,2040,"(41.7053,-91.6033)",30,,,,10
Macys_Goodyear_1,solar,3.5,12,2010,12,2035,"(33.409063,-112.414596)",25,,,,10
Indian_Orchard_PV_Facility_1,solar,1.9,12,2011,12,2036,"(42.151389,-72.498889)",25,,,,9
"Pioneer_Trail_Wind_Farm,_LLC_PTWF",wind,150.4,12,2011,12,2031,"(40.46405,-88.021517)",20,,,,9
Silver_Lake_Solar_Photovoltaic_Facility_1,solar,1.5,12,2010,12,2035,"(42.4525,-73.2403)",25,,,,10
"Murphy_Farm_Power,_LLC_1",solar,1,5,2011,5,2036,"(34.999167,-84.157254)",25,,,,9
"Post_Rock_Wind_Power_Project,_LLC_1",wind,201,9,2012,9,2032,"(38.841667,-98.299444)",20,,,,8
Arlington_Valley_Solar_Energy_II_AVSE1,solar,19,4,2013,4,2038,"(33.305,-112.833888)",25,,,,7
Arlington_Valley_Solar_Energy_II_AVSE2,solar,28,4,2013,4,2038,"(33.305,-112.833888)",25,,,,7
Arlington_Valley_Solar_Energy_II_AVSE3,solar,28,5,2013,5,2038,"(33.305,-112.833888)",25,,,,7
Arlington_Valley_Solar_Energy_II_AVSE4,solar,26,8,2013,8,2038,"(33.305,-112.833888)",25,,,,7
Arlington_Valley_Solar_Energy_II_AVSE5,solar,28,8,2013,8,2038,"(33.305,-112.833888)",25,,,,7
City_of_Boulder_WWTP_1,solar,1,6,2010,6,2035,"(40.048025,-105.180327)",25,,,,10
City_of_Madera_WWTP_1,solar,1.2,9,2009,9,2034,"(36.9408,-120.1572)",25,,,,11
"Staples_La_Mirada,_CA_1",solar,1.1,3,2009,3,2034,"(33.881667,-118.0175)",25,,,,11
"CS_Murphy_Point,_LLC_1",solar,1,8,2011,8,2036,"(34.989539,-84.166197)",25,,,,9
Turnbull_Hydro_1,hydro,5.3,7,2011,7,2051,"(47.605278,-112.096944)",40,,,,9
Turnbull_Hydro_2,hydro,7.7,6,2011,6,2051,"(47.605278,-112.096944)",40,,,,9
Topaz_Solar_Farm_TPZ1,solar,129.8,4,2013,4,2038,"(35.405556,-120.068611)",25,,,,7
Topaz_Solar_Farm_TPZ2,solar,151.2,6,2013,6,2038,"(35.405556,-120.068611)",25,,,,7
Topaz_Solar_Farm_TPZ3,solar,102.1,1,2014,1,2039,"(35.405556,-120.068611)",25,,,,6
Topaz_Solar_Farm_TPZ4,solar,90.3,11,2014,11,2039,"(35.405556,-120.068611)",25,,,,6
Topaz_Solar_Farm_TPZ5,solar,112.5,10,2014,10,2039,"(35.405556,-120.068611)",25,,,,6
Aerojet_I_1,solar,3,12,2009,12,2034,"(38.613508,-121.162879)",25,,,,11
Aerojet_II_1,solar,2.2,6,2010,6,2035,"(38.6086,-121.1703)",25,,,,10
Webberville_Solar_Project_AES1,solar,30,12,2011,12,2036,"(30.238492,-97.508812)",25,,,,9
Vasco_Winds_1,wind,78.2,12,2011,12,2031,"(37.790833,-121.718055)",20,,,,9
Montezuma_Wind_II_1,wind,78.2,1,2012,1,2032,"(38.116667,-121.821944)",20,,,,8
Cheyenne_Prairie_Generating_Station_01A,gas,40,10,2014,10,2044,"(41.123611,-104.72)",30,,,,6
Cheyenne_Prairie_Generating_Station_01B,gas,40,10,2014,10,2044,"(41.123611,-104.72)",30,,,,6
Cheyenne_Prairie_Generating_Station_01C,gas,20,10,2014,10,2044,"(41.123611,-104.72)",30,,,,6
Cheyenne_Prairie_Generating_Station_02A,gas,40,10,2014,10,2044,"(41.123611,-104.72)",30,,,,6
Mesquite_Solar_1_1,solar,16,11,2011,11,2036,"(33.341833,-112.904028)",25,,,,9
Mesquite_Solar_1_10,solar,12,10,2012,10,2037,"(33.341833,-112.904028)",25,,,,8
