,,,Emissions
2049,front_need,coal,2875473086.1634026
2049,front_need,gas,480638017.0695451
2049,front_need,hydro,2206116492.6556153
2049,front_need,nuclear,95883.41260847707
2049,front_need,solar,62313458.0830429
2049,front_need,wind,0.0
2049,oper_need,coal,929927628140.0385
2049,oper_need,gas,1299141893.0024369
2049,oper_need,hydro,0.0
2049,oper_need,nuclear,99789946.22741197
2049,oper_need,solar,467507675.55462235
2049,oper_need,wind,0.0
2050,front_need,coal,2875473086.1634026
2050,front_need,gas,480638017.0695451
2050,front_need,hydro,2206116492.6556153
2050,front_need,nuclear,99473.53076207537
2050,front_need,solar,0.0
2050,front_need,wind,0.0
2050,oper_need,coal,929927628140.0385
2050,oper_need,gas,1299141893.0024369
2050,oper_need,hydro,0.0
2050,oper_need,nuclear,97264392.25140944
2050,oper_need,solar,0.0
2050,oper_need,wind,0.0
