,,,Emissions
2049,front_need,hydro,2.7397035917474308e+16
2049,front_need,nuclear,147054895106456.4
2049,front_need,solar,1395515053357186.8
2049,front_need,wind,1.7279777349181302e+16
2049,oper_need,coal,5.71895834792243e+17
2049,oper_need,gas,2.822608475265172e+17
2049,oper_need,hydro,0.0
2049,oper_need,nuclear,32322489711428.035
2049,oper_need,solar,1013610677281.6866
2049,oper_need,wind,18135966220056.53
2050,front_need,coal,1088727882138733.2
2050,front_need,gas,1223887576631139.5
2050,front_need,hydro,2.8339398069035344e+16
2050,front_need,nuclear,173814110787946.38
2050,front_need,solar,1542474488524761.8
2050,front_need,wind,1.8106576102664476e+16
2050,oper_need,coal,5.931644960848211e+17
2050,oper_need,gas,3.101851011074228e+17
2050,oper_need,hydro,0.0
2050,oper_need,nuclear,38203216481950.734
2050,oper_need,solar,1120353625543.1042
2050,oper_need,wind,19003096668577.453
